"Date de déclaration du cas","Cas confirmés","Moyenne mobile (7 jours)","Annotations 1"
"2020-02-24 00:00:00",0,0,14
"2020-02-25 00:00:00",1,0,14
"2020-02-26 00:00:00",0,0,14
"2020-02-27 00:00:00",0,0,14
"2020-02-28 00:00:00",0,0,43
"2020-02-29 00:00:00",0,0,29
"2020-03-01 00:00:00",0,0,29
"2020-03-02 00:00:00",2,0,29
"2020-03-03 00:00:00",0,0,29
"2020-03-04 00:00:00",0,0,29
"2020-03-05 00:00:00",0,0,43
"2020-03-06 00:00:00",0,0,29
"2020-03-07 00:00:00",0,0,57
"2020-03-08 00:00:00",1,1
"2020-03-09 00:00:00",1,1,43
"2020-03-10 00:00:00",2,1,71
"2020-03-11 00:00:00",3,2,43
"2020-03-12 00:00:00",3,3,14
"2020-03-13 00:00:00",2,3,71
"2020-03-14 00:00:00",5,4,43
"2020-03-15 00:00:00",6,4,86
"2020-03-16 00:00:00",5,9,57
"2020-03-17 00:00:00",7,16,29
"2020-03-18 00:00:00",6,28,43
"2020-03-19 00:00:00",36,40,43
"2020-03-20 00:00:00",49,58,71
"2020-03-21 00:00:00",90,78,29
"2020-03-22 00:00:00",90,104,14
"2020-03-23 00:00:00",133,124,71
"2020-03-24 00:00:00",144,152,43
"2020-03-25 00:00:00",187,168,14
"2020-03-26 00:00:00",180,192,29
"2020-03-27 00:00:00",243,211,29
"2020-03-28 00:00:00",200,238
"2020-03-29 00:00:00",259,254,86
"2020-03-30 00:00:00",266,287,43
"2020-03-31 00:00:00",331,302,43
"2020-04-01 00:00:00",305,322,43
"2020-04-02 00:00:00",408,322,71
"2020-04-03 00:00:00",348,349,86
"2020-04-04 00:00:00",340,363
"2020-04-05 00:00:00",261,373
"2020-04-06 00:00:00",456,364,71
"2020-04-07 00:00:00",423,358,57
"2020-04-08 00:00:00",375,347,71
"2020-04-09 00:00:00",350,357,43
"2020-04-10 00:00:00",305,369,71
"2020-04-11 00:00:00",264,376,29
"2020-04-12 00:00:00",329,410,29
"2020-04-13 00:00:00",542,431,29
"2020-04-14 00:00:00",469,469,29
"2020-04-15 00:00:00",613,478,57
"2020-04-16 00:00:00",497,493,29
"2020-04-17 00:00:00",571,484,57
"2020-04-18 00:00:00",329,483,43
"2020-04-19 00:00:00",432,472,43
"2020-04-20 00:00:00",481,477,14
"2020-04-21 00:00:00",461,466,29
"2020-04-22 00:00:00",536,464,71
"2020-04-23 00:00:00",530,444
"2020-04-24 00:00:00",495,441,29
"2020-04-25 00:00:00",318,443,29
"2020-04-26 00:00:00",287,441,29
"2020-04-27 00:00:00",462,449,43
"2020-04-28 00:00:00",475,467,43
"2020-04-29 00:00:00",522,497
"2020-04-30 00:00:00",587,505,29
"2020-05-01 00:00:00",621,499,57
"2020-05-02 00:00:00",525,499
"2020-05-03 00:00:00",345,505,57
"2020-05-04 00:00:00",422,483,29
"2020-05-05 00:00:00",471,456,43
"2020-05-06 00:00:00",568,426,29
"2020-05-07 00:00:00",431,419,71
"2020-05-08 00:00:00",433,411,29
"2020-05-09 00:00:00",314,405,43
"2020-05-10 00:00:00",299,381,71
"2020-05-11 00:00:00",363,370,71
"2020-05-12 00:00:00",430,358,29
"2020-05-13 00:00:00",402,352,29
"2020-05-14 00:00:00",354,357,57
"2020-05-15 00:00:00",346,353,14
"2020-05-16 00:00:00",272,336,86
"2020-05-17 00:00:00",336,337,71
"2020-05-18 00:00:00",332,341,43
"2020-05-19 00:00:00",316,328,29
"2020-05-20 00:00:00",408,320,57
"2020-05-21 00:00:00",380,303,29
"2020-05-22 00:00:00",254,285,57
"2020-05-23 00:00:00",218,274,71
"2020-05-24 00:00:00",215,252,71
"2020-05-25 00:00:00",208,226,14
"2020-05-26 00:00:00",240,217,57
"2020-05-27 00:00:00",254,215,86
"2020-05-28 00:00:00",194,205,14
"2020-05-29 00:00:00",194,198,14
"2020-05-30 00:00:00",206,177,71
"2020-05-31 00:00:00",140,157,86
"2020-06-01 00:00:00",159,148,57
"2020-06-02 00:00:00",97,136,14
"2020-06-03 00:00:00",115,121,57
"2020-06-04 00:00:00",129,112,43
"2020-06-05 00:00:00",107,97
"2020-06-06 00:00:00",104,94,57
"2020-06-07 00:00:00",76,87,57
"2020-06-08 00:00:00",51,78,57
"2020-06-09 00:00:00",80,73,57
"2020-06-10 00:00:00",66,68,29
"2020-06-11 00:00:00",66,61,43
"2020-06-12 00:00:00",72,62,14
"2020-06-13 00:00:00",67,61,14
"2020-06-14 00:00:00",28,59,14
"2020-06-15 00:00:00",56,56,71
"2020-06-16 00:00:00",73,55,71
"2020-06-17 00:00:00",52,50,86
"2020-06-18 00:00:00",49,50,57
"2020-06-19 00:00:00",65,48,14
"2020-06-20 00:00:00",33,43,43
"2020-06-21 00:00:00",26,40
"2020-06-22 00:00:00",39,39,71
"2020-06-23 00:00:00",40,36,43
"2020-06-24 00:00:00",28,36
"2020-06-25 00:00:00",47,34,86
"2020-06-26 00:00:00",42,31,57
